strategy,exit_method,earnings_during_hold,n,win_rate,avg_pnl_pct,total_pnl_pct
avwap_252_breakout,atr_trail_1x,no,2,0.0,-3.90905,-7.8181
avwap_252_breakout,atr_trail_1x,yes,3,0.0,-0.9950333333333333,-2.9851
avwap_252_breakout,atr_trail_2x,no,2,0.0,-7.81805,-15.6361
avwap_252_breakout,atr_trail_2x,yes,3,0.0,-2.0663666666666667,-6.1991
avwap_252_breakout,atr_trail_mae_conditional,no,2,0.0,-3.90905,-7.8181
avwap_252_breakout,atr_trail_mae_conditional,yes,3,0.0,-0.9950333333333333,-2.9851
avwap_252_breakout,atr_trail_vix_conditional,no,2,0.0,-4.74225,-9.4845
avwap_252_breakout,atr_trail_vix_conditional,yes,3,0.0,-0.7366,-2.2098
avwap_252_breakout,break_even_at_1r,no,2,0.0,-3.90905,-7.8181
avwap_252_breakout,break_even_at_1r,yes,3,0.0,-0.9237666666666665,-2.7712999999999997
avwap_252_breakout,breakeven_plus_trail,no,2,0.0,-7.81805,-15.6361
avwap_252_breakout,breakeven_plus_trail,yes,3,0.0,-1.7562333333333333,-5.2687
avwap_252_breakout,chandelier_3x,no,2,0.0,-0.32535000000000003,-0.6507000000000001
avwap_252_breakout,chandelier_3x,yes,3,0.0,-0.24066666666666667,-0.722
avwap_252_breakout,class_time_stop,no,2,0.0,-45.1068,-90.2136
avwap_252_breakout,class_time_stop,yes,3,0.3333333333333333,-2.3909666666666665,-7.172899999999999
avwap_252_breakout,earnings_blackout,no,2,0.0,-97.20134999999999,-194.40269999999998
avwap_252_breakout,earnings_blackout,yes,3,0.3333333333333333,-30.56086666666667,-91.68260000000001
avwap_252_breakout,fixed_4r_2r,no,2,0.0,-7.81805,-15.6361
avwap_252_breakout,fixed_4r_2r,yes,3,0.0,-5.483499999999999,-16.450499999999998
avwap_252_breakout,hybrid_50pct_target,no,2,0.5,0.4267000000000003,0.8534000000000006
avwap_252_breakout,hybrid_50pct_target,yes,3,1.0,4.471533333333333,13.4146
avwap_252_breakout,ma_exit_ema9,no,2,0.0,-4.3477500000000004,-8.695500000000001
avwap_252_breakout,ma_exit_ema9,yes,3,0.3333333333333333,-0.8425666666666666,-2.5277
avwap_252_breakout,mfe_lockin_trail,no,2,0.0,-3.90905,-7.8181
avwap_252_breakout,mfe_lockin_trail,yes,3,0.0,-0.9950333333333333,-2.9851
avwap_252_breakout,multi_tier_partial,no,2,0.0,-3.90905,-7.8181
avwap_252_breakout,multi_tier_partial,yes,3,0.6666666666666666,-0.44336666666666663,-1.3300999999999998
avwap_252_breakout,next_pivot_target,no,2,0.0,-10.0,-20.0
avwap_252_breakout,next_pivot_target,yes,3,0.6666666666666666,0.0433333333333333,0.1299999999999999
avwap_252_breakout,r_multiple_2r,no,2,0.0,-3.90905,-7.8181
avwap_252_breakout,r_multiple_2r,yes,3,0.6666666666666666,1.9130000000000003,5.739000000000001
avwap_252_breakout,r_multiple_3r,no,2,0.0,-3.90905,-7.8181
avwap_252_breakout,r_multiple_3r,yes,3,0.0,-2.2737,-6.8210999999999995
avwap_252_breakout,regime_flip,no,2,0.5,-45.0529,-90.1058
