strategy,regime,sector,verdict,gates_passed,n_trades,gate_1_sample_size_value,gate_1_sample_size_passed
avwap_252_breakout,neutral,Consumer Discretionary,INSUFFICIENT_SAMPLE,0,1,1,False
avwap_252_breakout,neutral,Financials,INSUFFICIENT_SAMPLE,0,2,2,False
avwap_252_breakout,neutral,Health Care,INSUFFICIENT_SAMPLE,0,1,1,False
avwap_252_breakout,neutral,Industrials,INSUFFICIENT_SAMPLE,0,2,2,False
avwap_50_reclaim,neutral,Materials,INSUFFICIENT_SAMPLE,0,1,1,False
bollinger_tight,neutral,Consumer Discretionary,INSUFFICIENT_SAMPLE,0,1,1,False
bollinger_tight,neutral,Information Technology,INSUFFICIENT_SAMPLE,0,1,1,False
bollinger_tight,neutral,Utilities,INSUFFICIENT_SAMPLE,0,1,1,False
buyback_8k_recent_long,neutral,Consumer Discretionary,INSUFFICIENT_SAMPLE,0,1,1,False
buyback_8k_recent_long,neutral,Consumer Staples,INSUFFICIENT_SAMPLE,0,1,1,False
buyback_8k_recent_long,neutral,Financials,INSUFFICIENT_SAMPLE,0,6,6,False
buyback_8k_recent_long,neutral,Health Care,INSUFFICIENT_SAMPLE,0,1,1,False
buyback_8k_recent_long,neutral,Industrials,INSUFFICIENT_SAMPLE,0,3,3,False
buyback_8k_recent_long,neutral,Real Estate,INSUFFICIENT_SAMPLE,0,1,1,False
buyback_8k_recent_long,neutral,Utilities,INSUFFICIENT_SAMPLE,0,1,1,False
cmf_flip,neutral,Financials,INSUFFICIENT_SAMPLE,0,1,1,False
cmf_flip,neutral,Real Estate,INSUFFICIENT_SAMPLE,0,1,1,False
cpr_narrow_bullish,neutral,Communication Services,INSUFFICIENT_SAMPLE,0,2,2,False
cpr_narrow_bullish,neutral,Consumer Discretionary,INSUFFICIENT_SAMPLE,0,2,2,False
cpr_narrow_bullish,neutral,Consumer Staples,INSUFFICIENT_SAMPLE,0,1,1,False
cpr_narrow_bullish,neutral,Financials,INSUFFICIENT_SAMPLE,0,2,2,False
cpr_narrow_bullish,neutral,Health Care,INSUFFICIENT_SAMPLE,0,2,2,False
cpr_narrow_bullish,neutral,Real Estate,INSUFFICIENT_SAMPLE,0,2,2,False
htf_aligned_breakout_long,neutral,Industrials,INSUFFICIENT_SAMPLE,0,1,1,False
htf_aligned_breakout_long,neutral,Information Technology,INSUFFICIENT_SAMPLE,0,1,1,False
htf_aligned_breakout_long,neutral,Real Estate,INSUFFICIENT_SAMPLE,0,1,1,False
htf_aligned_breakout_long,neutral,Utilities,INSUFFICIENT_SAMPLE,0,1,1,False
insider_cluster_long,neutral,Health Care,INSUFFICIENT_SAMPLE,0,1,1,False
macd_fast_crossover,neutral,Real Estate,INSUFFICIENT_SAMPLE,0,1,1,False
macd_fast_crossover,neutral,Utilities,INSUFFICIENT_SAMPLE,0,1,1,False
monthly_bias_momentum_long,neutral,Consumer Staples,INSUFFICIENT_SAMPLE,0,2,2,False
monthly_bias_momentum_long,neutral,Financials,INSUFFICIENT_SAMPLE,0,4,4,False
monthly_bias_momentum_long,neutral,Health Care,INSUFFICIENT_SAMPLE,0,4,4,False
monthly_bias_momentum_long,neutral,Industrials,INSUFFICIENT_SAMPLE,0,7,7,False
monthly_bias_momentum_long,neutral,Information Technology,INSUFFICIENT_SAMPLE,0,4,4,False
