strategy,sharpe_adj,win_rate_adj,profit_factor_adj,haircut_pct_applied
stochrsi_oversold,0.0,0.8,inf,0.4
williams_r_oversold,0.0,0.9,inf,0.2
smc_breaker_block_long,0.0,0.9,inf,0.2
inside_bar_breakout,0.0,0.8,inf,0.4
cmf_flip,0.0,0.9,inf,0.2
morning_star,0.0,0.9,inf,0.2
mmbm_long,0.0,0.9,inf,0.2
parabolic_sar_flip,0.0,0.9,inf,0.2
risk_off_bond_equity_short,0.0,0.9,inf,0.2
naked_poc_retest_long,0.0,0.45,1.0729,0.2
pairs_mean_reversion_long,0.0,0.4,0.8322,0.4
stochrsi_overbought_short,0.0,0.26664,1.97744,0.4
pairs_mean_reversion_short,0.0,0.26664,0.1,0.4
mmsm_short,0.0,0.225,0.0741,0.2
po3_bullish,0.0,0.0,0.0,0.2
prev_day_low_bounce,0.0,0.0,0.0,0.2
pead_long,0.0,0.0,0.0,0.2
ichimoku_tk_cross,0.0,0.0,0.0,0.2
three_white_soldiers,0.0,0.0,0.0,0.2
macd_crossover,0.0,0.0,0.0,0.4
r1_break_retest,0.0,0.0,0.0,0.2
macd_fast_crossover,0.0,0.0,0.0,0.4
donchian_10_breakout,0.0,0.0,0.0,0.4
three_black_crows_short,0.0,0.0,0.0,0.2
week_opening_gap_fill_up,0.0,0.0,0.0,0.2
