ticker,strategy,entry_date,direction,entry_price,exit_method,pnl_pct,win,hold_days,exit_price,exit_date,regime_at_entry,sector,confidence_tier,cap_band,vol_band,hold_duration_band,win_loss_outcome,universe_tier,smart_money_signal_present,vix_at_entry,entry_atr_ratio,mae_bucket,mfe_bucket,regime_changed_during_hold,earnings_during_hold,circuit_breaker_active_during_hold,news_sentiment_shift_during_hold,8K_filed_during_hold,day_of_week_at_entry,days_from_quarter_end_at_entry,vix_term_structure,hy_oas_band_at_entry,adv_bucket,volume_rank_within_sector,sector_momentum_vs_spy_at_entry
RKLB,bollinger_tight,2022-09-15,long,5.0173,trailing_10pct,-8.8753,False,7,4.572,2022-09-22,neutral,Industrials,HIGH,unknown,crisis_atr_ge_5pct,medium_4_10d,loss,T2,no,0.0,0.07747194706316146,q4_ge_10pct,q4_ge_10pct,no,no,no_data,low_1_5,yes,thu,15,unknown,no_data,5_25M,unknown,no_data
CCEP,bollinger_tight,2022-09-06,long,46.5912,trailing_10pct,-3.3959,False,17,45.009,2022-09-23,neutral,Consumer Staples,HIGH,unknown,high_atr_2.5_5pct,long_ge_11d,loss,unknown,no,0.0,0.02958927866206494,q4_ge_10pct,q4_ge_10pct,no,no,no_data,none,no,tue,24,unknown,no_data,25_100M,unknown,no_data
GNRC,bollinger_tight,2023-03-20,long,113.4214,trailing_10pct,-8.9616,False,11,103.257,2023-03-31,neutral,Industrials,HIGH,unknown,crisis_atr_ge_5pct,long_ge_11d,loss,T1a,no,0.0,0.05048782681222415,q4_ge_10pct,q4_ge_10pct,no,no,no_data,mid_6_20,no,mon,11,unknown,no_data,100_500M,unknown,no_data
RF,bollinger_tight,2023-03-20,long,18.8444,trailing_10pct,-8.2062,False,32,17.298,2023-04-21,neutral,Financials,HIGH,unknown,crisis_atr_ge_5pct,long_ge_11d,loss,T1a,no,0.0,0.06344059773725881,q4_ge_10pct,q4_ge_10pct,no,no,no_data,high_gt_20,yes,mon,11,unknown,no_data,100_500M,unknown,no_data
VET,bollinger_tight,2023-03-20,long,12.812,trailing_10pct,-3.2704,False,37,12.393,2023-04-26,neutral,Energy,HIGH,unknown,crisis_atr_ge_5pct,long_ge_11d,loss,unknown,no,0.0,0.05339525444895411,q4_ge_10pct,q4_ge_10pct,no,no,no_data,low_1_5,no,mon,11,unknown,no_data,5_25M,unknown,no_data
BAC,bollinger_tight,2023-03-20,long,28.7588,trailing_10pct,-4.3632,False,45,27.504,2023-05-04,neutral,Financials,HIGH,unknown,high_atr_2.5_5pct,long_ge_11d,loss,T1a,no,0.0,0.037477224362629874,q4_ge_10pct,q4_ge_10pct,no,yes,no_data,high_gt_20,no,mon,11,unknown,no_data,ge_500M,unknown,no_data
GNRC,bollinger_tight,2023-08-09,long,105.5286,trailing_10pct,3.3398,True,40,109.053,2023-09-18,neutral,Industrials,HIGH,unknown,crisis_atr_ge_5pct,long_ge_11d,win,T1a,no,0.0,0.06495206038931627,q4_ge_10pct,q4_ge_10pct,no,no,no_data,mid_6_20,no,wed,52,unknown,normal_3_5,100_500M,unknown,no_data
JCI,bollinger_tight,2023-08-09,long,60.5304,trailing_10pct,-10.0,False,47,54.4774,2023-09-25,neutral,Industrials,HIGH,unknown,mid_atr_1_2.5pct,long_ge_11d,loss,T1a,no,0.0,0.02386569393230509,q4_ge_10pct,q4_ge_10pct,no,no,no_data,mid_6_20,yes,wed,52,unknown,normal_3_5,100_500M,unknown,no_data
LCID,bollinger_tight,2023-10-09,long,50.1951,trailing_10pct,-2.4606,False,9,48.96,2023-10-18,neutral,Consumer Discretionary,HIGH,unknown,crisis_atr_ge_5pct,medium_4_10d,loss,T1c,no,0.0,0.053690499670286544,q4_ge_10pct,q4_ge_10pct,no,no,no_data,mid_6_20,yes,mon,83,unknown,normal_3_5,100_500M,unknown,no_data
SGH,bollinger_tight,2024-04-15,long,18.8532,trailing_10pct,-7.0556,False,4,17.523,2024-04-19,neutral,Unknown,HIGH,unknown,crisis_atr_ge_5pct,medium_4_10d,loss,unknown,no,0.0,0.0700729849574608,q4_ge_10pct,q4_ge_10pct,no,no,no_data,none,no_data,mon,76,unknown,normal_3_5,25_100M,unknown,no_data
