ticker,strategy,entry_date,direction,entry_price,exit_method,pnl_pct,win,hold_days,exit_price,exit_date,exit_reason,regime_at_entry,sector,confidence_tier,cap_band,vol_band,hold_duration_band,win_loss_outcome,universe_tier,smart_money_signal_present,vix_at_entry,entry_atr_ratio,mae_bucket,mfe_bucket,regime_changed_during_hold,earnings_during_hold,circuit_breaker_active_during_hold,news_sentiment_shift_during_hold,8K_filed_during_hold,day_of_week_at_entry,days_from_quarter_end_at_entry,vix_term_structure,hy_oas_band_at_entry,adv_bucket,volume_rank_within_sector,sector_momentum_vs_spy_at_entry
AAPL,williams_r_oversold,2024-01-02,long,184.5083,atr_trail_vix_conditional,-1.2782,False,2,182.15,2024-01-04,atr_trailing_stop,bull,Information Technology,HIGH,unknown,low_lt_15,long_ge_11d,loss,T1c,yes,13.2,0.01630495755475499,q4_ge_10pct,q4_ge_10pct,no,yes,no_data,high_gt_20,yes,tue,89,unknown,normal_3_5,ge_500M,unknown,spy_mild_up_0_5pct
AVGO,williams_r_oversold,2024-01-02,long,107.2553,atr_trail_vix_conditional,-1.8744,False,2,105.2449,2024-01-04,atr_trailing_stop,bull,Information Technology,HIGH,unknown,low_lt_15,long_ge_11d,win,T1c,yes,13.2,0.024991771968378252,q4_ge_10pct,q4_ge_10pct,no,no,no_data,high_gt_20,yes,tue,89,unknown,normal_3_5,ge_500M,unknown,spy_mild_up_0_5pct
AMZN,williams_r_oversold,2024-01-02,long,149.392,atr_trail_vix_conditional,-2.545,False,2,145.59,2024-01-04,atr_trailing_stop,bull,Consumer Discretionary,HIGH,unknown,low_lt_15,long_ge_11d,win,T1c,yes,13.2,0.0193812252329442,q4_ge_10pct,q4_ge_10pct,no,yes,no_data,high_gt_20,yes,tue,89,unknown,normal_3_5,ge_500M,unknown,spy_mild_up_0_5pct
XOM,williams_r_oversold,2024-01-03,short,103.91,atr_trail_vix_conditional,-0.1636,False,1,104.08,2024-01-04,atr_trailing_stop,bull,Energy,LOW,unknown,low_lt_15,long_ge_11d,loss,T1a,yes,14.04,0.017849100182850543,q4_ge_10pct,q4_ge_10pct,no,no,no_data,high_gt_20,yes,wed,88,unknown,normal_3_5,ge_500M,unknown,spy_mild_up_0_5pct
TSLA,williams_r_oversold,2024-01-03,long,239.6891,mfe_lockin_trail,-3.0967,False,6,232.2666,2024-01-09,mfe_pre_threshold_trail,bull,Consumer Discretionary,HIGH,unknown,low_lt_15,long_ge_11d,loss,T1c,yes,14.04,0.037028801059372334,q4_ge_10pct,q4_ge_10pct,no,no,no_data,high_gt_20,no,wed,88,unknown,normal_3_5,ge_500M,unknown,spy_mild_up_0_5pct
GOOGL,williams_r_oversold,2024-01-02,long,137.4512,mfe_lockin_trail,-0.9192,False,3,136.1877,2024-01-05,mfe_pre_threshold_trail,bull,Communication Services,HIGH,unknown,low_lt_15,long_ge_11d,loss,T1c,yes,13.2,0.01998018205734108,q4_ge_10pct,q4_ge_10pct,no,yes,no_data,high_gt_20,yes,tue,89,unknown,normal_3_5,ge_500M,unknown,spy_mild_up_0_5pct
HD,williams_r_oversold,2024-01-02,long,343.012,mfe_lockin_trail,-1.4003,False,1,338.2088,2024-01-03,mfe_pre_threshold_trail,bull,Consumer Discretionary,HIGH,unknown,low_lt_15,long_ge_11d,win,T1a,yes,13.2,0.014003008641097105,q4_ge_10pct,q4_ge_10pct,no,no,no_data,high_gt_20,yes,tue,89,unknown,normal_3_5,ge_500M,unknown,spy_mild_up_0_5pct
AAPL,williams_r_oversold,2024-01-02,long,184.5083,mfe_lockin_trail,-1.6305,False,2,181.4999,2024-01-04,mfe_pre_threshold_trail,bull,Information Technology,HIGH,unknown,low_lt_15,long_ge_11d,loss,T1c,yes,13.2,0.01630495755475499,q4_ge_10pct,q4_ge_10pct,no,yes,no_data,high_gt_20,yes,tue,89,unknown,normal_3_5,ge_500M,unknown,spy_mild_up_0_5pct
AVGO,williams_r_oversold,2024-01-02,long,107.2553,mfe_lockin_trail,-2.4992,False,3,104.5748,2024-01-05,mfe_pre_threshold_trail,bull,Information Technology,HIGH,unknown,low_lt_15,long_ge_11d,win,T1c,yes,13.2,0.024991771968378252,q4_ge_10pct,q4_ge_10pct,no,no,no_data,high_gt_20,yes,tue,89,unknown,normal_3_5,ge_500M,unknown,spy_mild_up_0_5pct
AMZN,williams_r_oversold,2024-01-02,long,149.392,mfe_lockin_trail,-2.545,False,2,145.59,2024-01-04,mfe_pre_threshold_trail,bull,Consumer Discretionary,HIGH,unknown,low_lt_15,long_ge_11d,win,T1c,yes,13.2,0.0193812252329442,q4_ge_10pct,q4_ge_10pct,no,yes,no_data,high_gt_20,yes,tue,89,unknown,normal_3_5,ge_500M,unknown,spy_mild_up_0_5pct
